ROUTE_ID,ROUTE_SEQ,CHANGE
1000445,1,UPDATE
1000446,1,UPDATE
1000449,1,UPDATE
1000450,1,UPDATE
1000451,1,UPDATE
1000452,1,UPDATE
1000454,1,UPDATE
1000454,2,UPDATE
1000456,1,UPDATE
1000457,1,UPDATE
1000458,1,UPDATE
1000459,1,UPDATE
1000459,2,UPDATE
1000460,1,UPDATE
1000460,2,UPDATE
1000461,1,UPDATE
1000462,1,UPDATE
1000463,1,UPDATE
1000471,1,UPDATE
1000472,2,UPDATE
1000484,1,UPDATE
1000485,1,UPDATE
1000487,1,UPDATE
1000492,1,UPDATE
1000493,1,UPDATE
1000494,1,UPDATE
1000495,1,UPDATE
1000496,1,UPDATE
1000497,1,UPDATE
1000498,1,UPDATE
1000506,1,UPDATE
1000514,1,UPDATE
1000516,1,UPDATE
1000523,1,UPDATE
1000524,1,UPDATE
1000525,1,UPDATE
1000527,1,UPDATE
1000529,2,UPDATE
1000533,2,UPDATE
1000536,1,UPDATE
1000536,2,UPDATE
1000537,1,UPDATE
1000537,2,UPDATE
1000538,2,UPDATE
1000540,1,UPDATE
1000542,1,UPDATE
1000543,1,UPDATE
1000546,1,UPDATE
1000547,1,UPDATE
1000549,1,UPDATE
1000550,1,UPDATE
1000551,2,UPDATE
1000552,1,UPDATE
1000553,1,UPDATE
1000553,2,UPDATE
1000554,1,UPDATE
1000554,2,UPDATE
1000555,1,UPDATE
1000558,1,UPDATE
1000559,1,UPDATE
1000561,1,UPDATE
1000562,2,UPDATE
1000567,1,UPDATE
1000567,2,UPDATE
1000568,1,UPDATE
1000569,1,UPDATE
1000570,1,UPDATE
1000572,1,UPDATE
1000574,1,UPDATE
1000574,2,UPDATE
1000575,1,UPDATE
1000587,1,UPDATE
